レセプト電算処理システムコード,薬価基準収載医薬品コード,レセプト電算処理システム医薬品名
612320091,2329104C1046,グリモール
612320116,2329001D1031,グルマール顆粒　７０％
612320117,2322001C1027,グルミンＳ　９９％
612320118,2322001D1286,グルミン顆粒　９９％
612320119,2329009M1011,ケイチール　５０ｍｇ
612320119,2329009M1070,ケイチール　５０ｍｇ
612320128,2329006M2014,ゲファソフト　１００ｍｇ
612320129,2329006M1123,ゲファニールカプセル　５０ｍｇ
612320129,2329006M1344,ゲファニールカプセル　５０ｍｇ
612320130,2329006M2090,ゲファニールソフトカプセル　１００ｍｇ
612320131,2329006M1115,ゲファニールソフトカプセル　５０ｍｇ
612320132,2329006C1039,ゲファニール細粒　１０％
612320137,2329006C1012,ゲファルト細粒　１０％
612320137,2329006C1055,ゲファルト細粒　１０％
612320138,2329006M1190,ゲファルナートＣ（ツルハラ）　５０ｍｇ
612320139,2329006M2014,ゲファルナートＳ　１００ｍｇ
612320139,2329006M2120,ゲファルナートＳ　１００ｍｇ
612320149,2329107D1029,コランチル顆粒
612320158,2329009F1012,シーグル錠　５０ｍｇ
612320158,2329009F1055,シーグル錠　５０ｍｇ
612320167,2329009F1012,スプロチン錠　５０ｍｇ
612320167,2329009F1063,スプロチン錠　５０ｍｇ
612320167,2329009F1195,スプロチン錠　５０ｍｇ
612320169,2329009F1012,スペサニール錠　５０ｍｇ
612320169,2329009F1071,スペサニール錠　５０ｍｇ
612320169,2329009F1187,スペサニール錠　５０ｍｇ
612320174,2329009M1011,スルピリドカプセル（大正薬品）　５０ｍｇ
612320174,2329009M1186,スルピリドカプセル（大正薬品）　５０ｍｇ
612320175,2329009C2012,スルピリド細粒「アメル」　１０％
612320175,2329009C2047,スルピリド細粒「アメル」　１０％
612320175,2329009C2080,スルピリド細粒「アメル」　１０％
612320176,2329009F1012,スルピリド錠「アメル」　５０ｍｇ
612320180,2329009C3019,スルピリド細粒５０％「アメル」
612320180,2329009C3108,スルピリド細粒５０％「アメル」
612320182,2325001C1053,タガメット細粒２０％
612320183,2325001F1211,タガメット錠２００ｍｇ
612320195,2329009M1011,トーピリドカプセル　５０ｍｇ
612320195,2329009M1240,トーピリドカプセル　５０ｍｇ
612320198,2329009M1259,ドグマチールカプセル　５０ｍｇ
612320199,2329009C2055,ドグマチール細粒１０％
612320200,2329009C3078,ドグマチール細粒５０％
612320201,2329009F1110,ドグマチール錠５０ｍｇ
612320204,2329009M1011,ニチマールカプセル　５０ｍｇ
612320204,2329009M1267,ニチマールカプセル　５０ｍｇ
612320206,2329118A1020,ネオ・ユモール末
612320206,2329118B1026,ネオ・ユモール末
612320210,2329119F1022,ネオユモール錠剤
612320210,2329119F1030,ネオユモール錠剤
612320211,2329004C1030,ノイエルＳ　４０％
612320211,2329004C1129,ノイエルＳ　４０％
612320212,2329004M1043,ノイエルカプセル　２００ｍｇ
612320215,2329106B1023,ノバフイリンＧ
612320231,2329009M1011,ピリカップル　５０ｍｇ
612320231,2329009M1291,ピリカップル　５０ｍｇ
612320232,2329110X1027,ファイナリンＧ
612320242,2329010F1023,プロミド錠　２００ｍｇ
612320243,2329010D1022,プロミド顆粒　３０％
612320247,2329121D1029,ペクシー顆粒
612320254,2329003M1030,ホモガロールカプセル　２．４ｍｇ
612320258,2329009M1011,マーゲノールカプセル　５０ｍｇ
612320258,2329009M1305,マーゲノールカプセル　５０ｍｇ
612320260,2329009F1012,マーゲノール錠　５０ｍｇ
612320260,2329009F1136,マーゲノール錠　５０ｍｇ
612320261,2329122D1252,マーズレンＳ顆粒
612320265,2329111D1025,マリジンＭ
612320267,2399001F1029,マロゲン錠　１３５ｍｇ
612320267,2399001F1037,マロゲン錠　１３５ｍｇ
612320271,2329009M1313,ミラドールカプセル　５０ｍｇ
612320271,2329009M1372,ミラドールカプセル　５０ｍｇ
612320272,2329009C2063,ミラドール細粒１０％
612320273,2329009C3086,ミラドール細粒５０％
612320274,2329009F1144,ミラドール錠　５０ｍｇ
612320276,2329101F1049,メサフィリン錠
612320277,2329100A1047,メサフィリン末
612320283,2329123F1029,ユーナイン錠
612320284,2329123D1028,ユーナイン顆粒
612320285,2329006M1336,ヨウファナート「カプセル」　５０ｍｇ
612320286,2329009M1011,ヨウマチール「カプセル」　５０ｍｇ
612320286,2329009M1330,ヨウマチール「カプセル」　５０ｍｇ
612320286,2329009M1429,ヨウマチール「カプセル」　５０ｍｇ
612320287,2329008D1122,リタアルミン　９０％
612320298,2329105D1038,複合エピサネートＧ顆粒
612320302,2329008C1038,アルトサミン細粒　９０％
612320303,2329008D1041,ウルバンＡ顆粒　９０％
612320303,2329008D1173,ウルバンＡ顆粒　９０％
612320307,2329009F1012,クールスパン錠　５０ｍｇ
612320307,2329009F1047,クールスパン錠５０　５０ｍｇ
612320308,2329006M2081,ゲファニールカプセル　１００ｍｇ
612320309,2329006M2014,ゲファルナートＳ（ツルハラ）　１００ｍｇ
612320309,2329006M2111,ゲファルナートＳ（ツルハラ）　１００ｍｇ
612320310,2329006M2014,ゲファルナートＳカプセル１００（竹島）　１００ｍｇ
612320310,2329006M2138,ゲファルナートＳカプセル１００（竹島）　１００ｍｇ
612320312,2329006M1212,ゲルナー　５０ｍｇ
612320317,2329008D1068,シューアルミン　９０％
612320317,2329008D1165,シューアルミン　９０％
612320320,2329009M1011,スタマクリットカプセル　５０ｍｇ
612320320,2329009M1119,スタマクリットカプセル　５０ｍｇ
612320320,2329009M1364,スタマクリットカプセル５０　５０ｍｇ
612320327,2329011M2023,ソロン　１００ｍｇ
612320329,2329011C1021,ソロン細粒　１０％
612320332,2329008D1076,トレドール顆粒　９０％
612320337,2329008D1092,ビンガスト顆粒　９０％
612320337,2329008D1157,ビンガスト顆粒　９０％
612320339,2329009F1012,ベタマックＴ　５０ｍｇ
612320339,2329009F1128,ベタマックＴ５０　５０ｍｇ
612320343,2329008D1106,ムッテルミン顆粒　９０％
612320344,2329008D1114,ユーワンＳ　９０％
612320345,2325002F1020,ザンタック錠　１５０ｍｇ
612320345,2325002F1194,ザンタック錠　１５０ｍｇ
612320346,2329012M1021,セルベックスカプセル５０ｍｇ
612320347,2329012C1026,セルベックス細粒１０％
612320349,2325003B1022,ガスター散１０％
612320350,2325003F2020,ガスター錠２０ｍｇ
612320351,2329013F1035,クラスト錠　０．５ｍｇ
612320360,2329104C1038,グリネートＳ
612320361,2329103F1030,グリネートＳ錠
612320362,2329113D1024,グリフィリンＧ
612320364,2329104C1054,ゲシュウル
612320368,2329103F1056,ツルピネート
612320372,2329104C1097,パングリーンＰ
612320381,2329015F2022,アプレース錠１００ｍｇ
612320382,2325004M1028,アルタットカプセル　７５ｍｇ
612320383,2329014M1020,ケルナックカプセル　８０ｍｇ
612320384,2329014C1025,ケルナック細粒　８％
612320385,2325001F1017,カイロック錠　２００ｍｇ
612320385,2325001F1092,カイロック錠　２００ｍｇ
612320386,2329016M1020,アロカ　２．５μｇ
612320388,2329018F1038,ミドリアミン錠　５ｍｇ
612320389,2329016M1038,ロノックカプセル　２．５μｇ
612320390,2329002D4019,アテネントイン顆粒　５０％
612320390,2329002D4035,アテネントイン顆粒　５０％
612320391,2329002D3020,イサロン顆粒２５％
612320393,2325001C2025,カイロック細粒　４０％
612320393,2325001C2092,カイロック細粒　４０％
612320395,2329002D4019,カルマイサ顆粒　５０％
612320395,2329002D4124,カルマイサ顆粒　５０％
612320399,2325001F2048,タガメット錠４００ｍｇ
612320400,2329008C1054,ツナルミン細粒　９０％
612320400,2329008C1119,ツナルミン細粒　９０％
612320404,2329002D4019,フラマーゲン顆粒　５０％
612320404,2329002D4205,フラマーゲン顆粒　５０％
612320404,2329002D4272,フラマーゲン顆粒　５０％
612320405,2329002D4019,ベスタス　５０％
612320405,2329002D4213,ベスタス　５０％
612320407,2329019M1023,ウルグートカプセル　２００ｍｇ
612320408,2329019M1031,ロンミールカプセル　２００ｍｇ
612320409,2329005C2030,ガストロゼピン細粒　１０％
612320410,2329122D1031,アズクレニンＳ顆粒
612320410,2329122D1341,アズクレニンＳ顆粒
612320411,2324001C1021,アスパロン細粒　４０％
612320413,2329002D4019,アルキサ顆粒　５０％
612320413,2329002D4051,アルキサ顆粒　５０％
612320417,2325003F1024,ガスター錠１０ｍｇ
612320418,2329122D1090,グリクラミン顆粒
612320419,2329122D1104,グリマック顆粒
612320421,2329122D1112,グロリアミン顆粒
612320423,2329009F1012,スルピリド錠５０ｍｇ（ＴＹＫ）
612320423,2329009F1098,スルピリド錠５０ｍｇ（ＴＹＫ）
612320424,2329122D1120,セダガストン顆粒
612320425,2329122D1139,テイサマック顆粒
612320427,2329122D1201,ポドニンＳ顆粒
612320428,2329122D1309,メサドリンーＳ顆粒
612320429,2329002D4019,ヨウアネート顆粒　５０％
612320429,2329002D4221,ヨウアネート顆粒　５０％
612320430,2329122D1325,ルフレン顆粒
612320430,2329122D1457,ルフレン顆粒
612320435,2329015C1020,アプレース細粒　２０％
612320436,2329020C1020,ガスロンＮ細粒０．８％
612320437,2329020F1027,ガスロンＮ錠２ｍｇ
612320438,2329020F2023,ガスロンＮ錠４ｍｇ
612320440,2329018F1020,トトノール錠　５ｍｇ
612320441,2329105D1020,ピスコ顆粒
612320442,2329116S1027,アルクレイン液
612320442,2329116S1086,アルクレイン液
612320443,2329116S1043,サンメール内用液
612320443,2329116S1078,サンメール内用液
612320446,2329122C1028,アズレミン細粒
612320448,2329122D1040,アルサズレン顆粒
612320449,2329122D1058,ウルクゾール顆粒
612320451,2329122D1074,ガイサール顆粒
612320453,2329122D1147,トーワズレン顆粒
612320454,2329122D1155,ヒズレンＳ顆粒
612320464,2329122D1279,マドカロン顆粒
612320465,2329122D1287,マナミンＧＡ顆粒
612320465,2329122D1422,マナミンＧＡ顆粒
612320467,2329122D1317,ヨウズレンＳ顆粒
612320468,2329002C2029,アスコンプ細粒２５％
612320476,2329004M1035,エルグリルカプセル　２００ｍｇ
612320477,2329005C2014,ガストシオン細粒１０％
612320477,2329005C2022,ガストシオン細粒１０％
612320478,2329005C2014,ガレンドピン細粒　１０％
612320478,2329005C2049,ガレンドピン細粒　１０％
612320479,2329005C2014,キッカルジン細粒　１０％
612320480,2329005C2014,ランクリック細粒　１０％
612320480,2329005C2065,ランクリック細粒　１０％
612320481,2329005C1026,カロデリン細粒　５％
612320485,2329005F1014,ガタンプル錠　２５ｍｇ
612320485,2329005F1065,ガタンプル錠　２５ｍｇ
612320485,2329005F1197,ガタンプル錠　２５ｍｇ
612320486,2329005F1014,ガレンドピン錠　２５ｍｇ
612320486,2329005F1073,ガレンドピン錠　２５ｍｇ
612320487,2329005F1014,キッカルジン錠　２５ｍｇ
612320487,2329005F1081,キッカルジン錠　２５ｍｇ
612320487,2329005F1189,キッカルジン錠　２５ｍｇ
612320488,2329005F1014,ストマゼピン錠　２５ｍｇ
612320488,2329005F1090,ストマゼピン錠　２５ｍｇ
612320489,2329005F1014,ピレンゼット錠　２５ｍｇ
612320489,2329005F1111,ピレンゼット錠　２５ｍｇ
612320489,2329005F1219,ピレンゼット錠　２５ｍｇ
612320490,2329005F1014,ピレンゼール錠　２５ｍｇ
612320490,2329005F1103,ピレンゼール錠　２５ｍｇ
612320491,2329005F1014,ピロデイン錠　２５ｍｇ
612320491,2329005F1120,ピロデイン錠　２５ｍｇ
612320492,2329005F1014,フォリンゼピン錠　２５ｍｇ
612320492,2329005F1138,フォリンゼピン錠　２５ｍｇ
612320493,2329005F1014,ランクリック錠　２５ｍｇ
612320493,2329005F1146,ランクリック錠　２５ｍｇ
612320494,2325001C1010,アルカメット細粒２０％
612320494,2325001C1029,アルカメット細粒２０％
612320495,2325001C1010,シメチラン細粒　２０％
612320495,2325001C1037,シメチラン細粒　２０％
612320496,2325001C1010,タカミジンＣ細粒　２０％
612320496,2325001C1045,タカミジンＣ細粒　２０％
612320496,2325001C1100,タカミジンＣ細粒　２０％
612320497,2325001C1010,チーカプト細粒　２０％
612320497,2325001C1061,チーカプト細粒　２０％
612320497,2325001C1096,チーカプト細粒　２０％
612320498,2325001F1017,アムイサン錠　２００ｍｇ
612320498,2325001F1033,アムイサン錠　２００ｍｇ
612320499,2325001F1017,アルカメット錠　２００ｍｇ
612320499,2325001F1041,アルカメット錠２００　２００ｍｇ
612320500,2325001F1017,アルキオーネ錠　２００ｍｇ
612320500,2325001F1050,アルキオーネ錠　２００ｍｇ
612320501,2325001F1017,イクロール錠　２００ｍｇ
612320501,2325001F1068,イクロール錠　２００ｍｇ
612320501,2325001F1424,イクロール錠　２００ｍｇ
612320502,2325001F1017,イシメット錠　２００ｍｇ
612320502,2325001F1076,イシメット錠　２００ｍｇ
612320502,2325001F1440,イシメット錠　２００ｍｇ
612320503,2325001F1017,エスメラルダ錠　２００ｍｇ
612320503,2325001F1084,エスメラルダ錠　２００ｍｇ
612320503,2325001F1432,エスメラルダ錠　２００ｍｇ
612320504,2325001F1017,ガスチリン錠　２００ｍｇ
612320504,2325001F1106,ガスチリン錠２００　２００ｍｇ
612320505,2325001F1017,ガストロメット錠　２００ｍｇ
612320505,2325001F1114,ガストロメット錠　２００ｍｇ
612320506,2325001F1017,ガスフェロン錠２００ｍｇ
612320506,2325001F1122,ガスフェロン錠２００ｍｇ
612320508,2325001F1017,シメチパール錠　２００ｍｇ
612320508,2325001F1149,シメチパール錠２００　２００ｍｇ
612320510,2325001F1017,シメチラン錠　２００ｍｇ
612320510,2325001F1165,シメチラン錠　２００ｍｇ
612320510,2325001F1378,シメチラン錠　２００ｍｇ
612320511,2325001F1017,スターセル錠　２００ｍｇ
612320511,2325001F1173,スターセル錠　２００ｍｇ
612320512,2325001F1017,ストマチジン錠２００ｍｇ
612320512,2325001F1181,ストマチジン錠２００ｍｇ
612320514,2325001F1017,タカミジンＣ錠２００ｍｇ
612320514,2325001F1203,タカミジンＣ錠２００ｍｇ
612320514,2325001F1416,タカミジンＣ錠２００ｍｇ
612320515,2325001F1017,ダンカート錠　２００ｍｇ
612320515,2325001F1220,ダンカート錠　２００ｍｇ
612320516,2325001F1017,ダンスール錠２００ｍｇ
612320516,2325001F1238,ダンスール錠２００ｍｇ
612320517,2325001F1017,チーカプト錠　２００ｍｇ
612320517,2325001F1246,チーカプト錠　２００ｍｇ
612320517,2325001F1459,チーカプト錠　２００ｍｇ
612320518,2325001F1017,チスタメット錠　２００ｍｇ
612320518,2325001F1254,チスタメット錠　２００ｍｇ
612320520,2325001F1017,ファルジン錠　２００ｍｇ
612320520,2325001F1270,ファルジン錠　２００ｍｇ
612320520,2325001F1386,ファルジン錠　２００ｍｇ
612320521,2325001F1017,ロイアンＣ錠２００ｍｇ
612320521,2325001F1289,ロイアンＣ錠２００ｍｇ
612320522,2325001F1017,アストロフェン錠　２００ｍｇ
612320522,2325001F1025,アストロフェン錠　２００ｍｇ
612320522,2325001F1408,アストロフェン錠　２００ｍｇ
612320524,2325001F2013,タカミジンＣ錠４００ｍｇ
612320524,2325001F2030,タカミジンＣ錠４００ｍｇ
612320524,2325001F2080,タカミジンＣ錠４００ｍｇ
612320525,2325005M1022,アシノンカプセル　１５０ｍｇ
612320526,2329021F1021,ムコスタ錠　１００ｍｇ
612320527,2329022H1027,オメプラール錠　２０ｍｇ
612320529,2323001F1209,水溶性アズレン錠「タイヨー」　２ｍｇ
612320529,2323001F1217,水溶性アズレン錠「タイヨー」　２ｍｇ
612320531,2325002F2026,ザンタック錠　７５ｍｇ
612320532,2329002D3039,アテネントイン顆粒２５％
612320535,2329107D1037,コサイチル顆粒
612320535,2329107D1088,コサイチル顆粒
612320536,2325002F3022,ザンタック錠　３００ｍｇ
612320537,2325001C2033,ストマチジン細粒４０％
612320542,2329005F1014,ピン錠　２５ｍｇ
612320542,2329005F1170,ピン錠　２５ｍｇ
612320545,2329004M1060,レスラートカプセル　２００ｍｇ
612320548,2329005F1014,カクマイン錠　２５ｍｇ
612320549,2329023M1020,タケプロンカプセル　１５ｍｇ
612320550,2329023M2026,タケプロンカプセル　３０ｍｇ
612320552,2329025M1029,カムリードカプセル　２５μｇ
612320553,2329024F1025,サイトテック錠　２００μｇ
612320555,2329026D1023,ガストローム顆粒　６６．７％
612320555,2329026D1031,ガストローム顆粒　６６．７％
612320556,2329002D4019,アテネントイン顆粒　５０％
612320557,2329006M2014,エラシオンカプセル　１００ｍｇ
612320559,2329009C2012,クールスパン細粒　１０％
612320560,2329009C3019,スルピリド細粒５０％「アメル」
612320562,2329009F1012,クールスパン錠　５０ｍｇ
612320563,2329009M1011,ケイチール　５０ｍｇ
612330004,2339180B1021,ＦＫ散
612330006,2339185B1024,ＫＭ散
612330007,2339181B1026,Ｍ・Ｍ散
612330008,2339003B1036,Ｎーラクターゼ　５０％
612330009,2339178B1024,ＮＩＭ散
612330009,2339178B1075,ＮＩＭ散
612330010,2339182B1020,ＯＭ散２号
612330013,2339177B1020,Ｓ・Ｍ散
612330014,2339188B1028,ＴＭ散
612330015,2339193B1029,ＹＭ散「イセイ」
612330016,2339187B1023,つくしＡ・Ｍ散
612330017,2339109M1024,アクチムカプセル
612330023,2323001F1039,アズノール錠　２ｍｇ
612330026,2323001F1063,アズプロ錠２ｍｇ
612330028,2323001D3022,アズレンゾルＧ　１％
612330029,2323001F1128,アズレンゾル錠　２ｍｇ
612330038,2323001F1136,アテネレン錠（ツルハラ）　２ｍｇ
612330042,2339214M1023,ヨウラーゼＦカプセル
612330043,2339219F1027,ヨウリターゼＡ錠
612330045,2336001Q1020,アベダイン液　１０％
612330058,2339174H1029,エーザイム
612330059,2339114M1025,エクセラーゼカプセル
612330060,2339114F1026,エクセラーゼ錠
612330061,2339113D1020,エクセラーゼ顆粒
612330085,2339003B1044,オリザチーム　５０％
612330086,2339003D1029,オリザチーム顆粒　５０％
612330096,2339194B1023,ガストロピロール
612330099,2339003B1087,ガランターゼ散　５０％
612330102,2339186A1023,ケーテー末２号
612330110,2339137D1026,コンクチームＮ
612330111,2333002X1019,コンズランゴ流エキス
612330112,2339138X1027,コンビチーム
612330120,2339139X1021,ザイマ
612330125,2331003X1019,「純生」ジアス
612330125,2331003X1094,ジアスターゼ
612330125,2331003X1132,ジアスターゼ〈ハチ〉
612330125,2331003X1035,ジアスターゼ「エビス」
612330125,2331003X1230,ジアスターゼ「ニッコー」
612330125,2331003X1248,ジアスターゼ「ヒシヤマ」
612330125,2331003X1159,ジアスターゼ「マルイシ」
612330125,2331003X1205,ジアスターゼ「ヤクハン」
612330125,2331003X1043,ジアスターゼ．ＯＩ
612330125,2331003X1183,ジアスターゼ．ＹＩ
612330133,2339146M1025,ストミラーゼカプセル
612330134,2339145D1020,ストミラーゼ顆粒
612330137,2339106B1011,「純生」センブリ・重曹散
612330138,2339108F1055,センブリ・重曹錠
612330139,2333003B1059,センブリ散（丸石）
612330140,2333003B1032,センブリ散（純生）
612330141,2333003B1040,センブリ散（当薬散）（小堺）
612330144,2331005A1023,タカヂアスターゼ
612330145,2339148B1023,タカプレックス（重質）
612330146,2339147F1020,タカプレックス錠
612330148,2339149M1029,タフマックＥ
612330149,2339150D1021,タフマックＥ顆粒
612330157,2333004S1010,トウヒチンキ
612330167,2323001C2039,ノズレン細粒　０．４％
612330168,2323001C3035,ノズレン細粒　１％
612330171,2339154X1026,ハイパーチーム
612330183,2331006X1012,「純生」パンクレアチン
612330192,2339107X1021,ビアサン
612330196,2339105X1030,ビットサン
612330201,2339189B1022,ピーマーゲン散ショーワ
612330203,2339159M1022,フェルターゼカプセル
612330203,2339159M1030,フェルターゼカプセル
612330208,2339161P1026,フェンラーゼＳ
612330208,2339161P1034,フェンラーゼＳ
612330211,2339164M1023,ベリチームカプセル
612330212,2339163D1029,ベリチーム顆粒
612330212,2339163D1037,ベリチーム顆粒
612330213,2339195X1025,ベルサン
612330215,2333005B1015,ホミカエキス散
612330218,2339167M1027,ホルミラーゼ
612330221,2339166M1022,ポリトーゼカプセル
612330222,2339165D1028,ポリトーゼ顆粒
612330243,2339191B1020,モハン胃腸薬Ａ
612330245,2339196X1020,モルマーゲン
612330247,2339173D1022,ユニセラーゼ顆粒
612330251,2339003B1168,ラクチーム散　５０％
612330258,2332001X1017,ビタソート
612330258,2332001X1114,ビタソート
612330258,2332001X1076,乾燥酵母
612330258,2332001X1084,乾燥酵母エビオス
612330259,2331001X1010,含糖ペプシン
612330259,2331001X1036,含糖ペプシン「エビス」
612330260,2335001X1019,希塩酸
612330261,2333001X1014,苦味チンキ
612330261,2333001X1073,苦味チンキ
612330261,2333001X1189,苦味チンキ
612330261,2333001X1103,苦味チンキ
612330261,2333001X1111,苦味チンキ〈ハチ〉
612330261,2333001X1022,苦味チンキ「エビス」
612330261,2333001X1162,苦味チンキ「マルイシ」
612330261,2333001X1197,苦味チンキ「ヤクハン」
612330261,2333001X1030,苦味チンキ．ＯＹ
612330262,2339101B1027,健胃散「スズ」
612330264,2339108F1047,健胃錠（大日本）
612330266,2339101B1035,健栄の健胃散
612330268,2339105X1022,重散
612330269,2339151C1020,新ドライアーゼ
612330274,2323001D3030,水溶性アズレン顆粒（大興）　１％
612330277,2323001D3049,水溶性アズレン顆粒「ナカノ」１％
612330277,2323001D3065,水溶性アズレン顆粒「ナカノ」１％
612330278,2339183B1025,大原胃腸薬（散）
612330281,2339003B1079,カラシミーゼ　５０％
612330281,2339003B1206,カラシミーゼ　５０％
612330288,2339198M1022,セブンイー・Ｐ
612330291,2339003B1125,デミナーゼ散　５０％
612330315,2339004C1028,ミルラクト細粒　５０％
612330320,2323001C2020,アズノール細粒（０．４％）
612330321,2323001C3027,アズノール細粒（１％）
612330325,2323001F1110,アズレン錠「陽進」　２ｍｇ
612330325,2323001F1233,アズレン錠「陽進」　２ｍｇ
612330326,2339206F1038,アリーゼＳ錠
612330326,2339206F1070,アリーゼＳ錠
612330327,2339205M1024,アリーゼＮカプセル
612330328,2339205D1024,アリーゼＮ顆粒
612330330,2339209M1022,ケイラーゼＡカプセル
612330340,2339218M1021,ヨウラーゼＳカプセル
612330342,2339222D1028,アピターゼ顆粒Ａ
612330346,2339234F1021,エンテラーゼ錠
612330346,2339234F1030,エンテラーゼ錠
612330348,2339235F1026,オーネスＳＴ錠
612330348,2339235F1034,オーネスＳＴ錠
612330349,2339244M1024,オーネスＳＰカプセル
612330349,2339244M1032,オーネスＳＰカプセル
612330354,2339226D1026,ケイラーゼＳ顆粒
612330355,2339247M1028,コンクターゼＡカプセル
612330356,2339237F1025,コンクターゼＦ錠
612330357,2339227D1020,コンクターゼＧ顆粒
612330361,2339249M1027,タンチパンＳカプセル
612330364,2339251M1024,ネオ・エフラーゼカプセル
612330365,2339229D1020,ハイフルＧ顆粒
612330366,2339230D1022,パスターゼＳＡ顆粒
612330370,2339231D1027,プチトラーゼ顆粒
612330371,2339241F1021,ボルトミーＣ錠
612330371,2339241F1056,ボルトミーＣ錠
612330378,2339206F1046,サニアーゼ
612330381,2339225D1030,ヨウラーゼＥ顆粒
612330382,2339255M1022,オーネスＳＺカプセル
612330382,2339255M1030,オーネスＳＺカプセル
612330384,2339257D1021,サニアーゼＧ顆粒
612330385,2339257M1021,サニアーゼＰカプセル
612330386,2339258D1026,マックターゼ顆粒
612330387,2339259F1021,マックターゼ錠Ｓ
612330389,2339261B1027,ＭＰ散
612330392,2331001X1010,含糖ペプシン「ヒシヤマ」
612330394,2331001X1010,含糖ペプシン「ヨシダ」
612330397,2331003X1019,ジアスターゼ「ツキシマ」
612330398,2331003X1019,ジアスターゼ「ニッコー」
612330398,2331003X1230,ジアスターゼ「ニッコー」
612330399,2331003X1019,ジアスターゼ「ヒシヤマ」
612330399,2331003X1248,ジアスターゼ「ヒシヤマ」
612330401,2331003X1019,ジアスターゼ「ヨシダ」
612330401,2331003X1264,ジアスターゼ「ヨシダ」
612330404,2331006X1012,パンクレアチン（三晃）
612330405,2331006X1012,パンクレアチン「日臓」
612330406,2331006X1012,パンクレアチン「ヒシヤマ」
612330407,2331006X1012,パンクレアチン「ヨシダ」
612330407,2331006X1195,パンクレアチン「ヨシダ」
612330409,2332001X1017,乾燥酵母エビオス
612330409,2332001X1084,乾燥酵母エビオス
612330411,2332001X1017,ビースト
612330412,2332001X1017,ビタソート
612330412,2332001X1114,ビタソート
612330413,2333001X1014,苦味チンキ「昭和」（Ｍ）
612330414,2333001X1014,苦味チンキ「ニッコー」
612330417,2333001X1014,苦味チンキ「ヨシダ」
612330419,2333002X1019,コンズランゴ流エキス「ニッコー」
612330421,2339106B1011,センブリ・重曹散「ヤクハン」
612330421,2339106B1178,センブリ・重曹散「ヤクハン」
612330423,2339106B1011,センブリ・重曹散「ヨシダ」
612330423,2339106B1194,センブリ・重曹散「ヨシダ」
612330426,2333004S1010,トウヒチンキ「ニッコー」
612330429,2333005B1015,ホミカエキス散「ニッコー」
612330432,2335001X1019,希塩酸「ツキシマ」
612330433,2335001X1019,希塩酸「ニッコー」
612330435,2335001X1019,希塩酸「ヨシダ」
612330436,2339106B1011,健胃散「マルピー」
612330436,2339106B1038,健胃散「マルピー」
612330437,2339106B1011,「純生」センブリ・重曹散
612330438,2339106B1054,日粉センブリ・重曹散Ｎ
612330439,2339106B1011,センブリ・重曹散「エビス」
612330442,2339106B1011,センブリ・重曹散「コザカイ・Ｍ」
612330443,2339106B1011,センブリ・重曹散シオエ
612330445,2339106B1011,センブリ・重曹散「東海」
612330446,2339106B1011,センブリ・重曹散「ニッコー」
612330449,2339106B1011,センブリ・重曹散「メタル」
612330449,2339106B1160,センブリ・重曹散「メタル」
612330450,2339262D1022,オーネスＮ顆粒
612330450,2339262D1030,オーネスＮ顆粒
612330453,2331003X1019,「純生」ジアス
612330453,2331003X1108,「純生」ジアス
612330454,2331003X1019,ジアスターゼ「ホエイ」
612330454,2331003X1140,ジアスターゼ「ホエイ」
612330456,2331006X1012,パンクレアチン「ホエイ」
612330456,2331006X1101,パンクレアチン「ホエイ」
612330458,2333005B1015,ホミカエキス散「ホエイ」
612340004,2344001X1018,ケイ酸マグネシウム
612340006,2343007C1024,スピーゲル
612340010,2343006D1025,ナシッド顆粒　５０％
612340016,5100169A1010,ウチダのボレイ末Ｍ
612340017,2349100X1026,マーロックス
612340018,2344003S1028,ミルマグ　７％
612340019,2344003F1020,ミルマグ錠　３５０ｍｇ
612340019,2344003F1038,ミルマグ錠　３５０ｍｇ
612340020,2343007C1040,メタスタミン
612340021,2343005X1019,「純生」アルミゲル
612340022,2343005C1017,「ヨシダ」ゲル細粒
612340023,2343001X1010,「純生」合成ケイ酸アルミ
612340023,2343001X1207,シリカミン
612340023,2343001X1088,合成ケイ酸アルミニウム
612340023,2343001X1118,合成ケイ酸アルミニウム
612340024,2344002X1012,「純生」軽カマ
612340024,2344002X1276,「重質」カマグＧ「ヒシヤマ」
612340024,2344002X1179,酸化マグネシウム
612340024,2344002X1101,酸化マグネシウム
612340024,2344002X1098,酸化マグネシウム〈ハチ〉
612340024,2344002X1020,酸化マグネシウム「エビス」
612340024,2344002X1063,酸化マグネシウム「コザカイ・Ｍ」
612340024,2344002X1217,酸化マグネシウム「ニッコー」
612340024,2344002X1144,酸化マグネシウム「マルイシ」
612340024,2344002X1284,重カマ「ヤクハン」
612340024,2344002X1292,重質酸化マグネシウム．ＯＩ
612340027,2344006X1010,「純生」炭マ
612340027,2344006X1134,炭酸マグネシウム
612340027,2344006X1029,炭酸マグネシウム「エビス」
612340027,2344006X1169,炭酸マグネシウム「ニッコー」
612340027,2344006X1193,重質炭酸マグネシウム．ＯＹ
612340028,2344004X1011,「純生」重曹
612340029,2344007X1015,「純生」沈炭灰
612340030,2343002X1015,アドソルビン
612340031,2343006B1024,サモールＮ　９８％
612340071,2343007S1029,アンガスト
612340072,2343001X1010,アルミワイス
612340072,2343001X1134,アルミワイス
612340074,2343001X1010,合成ケイ酸アルミニウム住友
